event_id,match_id,period,minute,team_id,player_off_id,player_off_name,player_on_id,player_on_name,position_name,outcome_name
aad81251-d4e7-49d4-8c24-23dd601a2a99,3857292,2,45,795,108340,Brandon Aguilera Zamora,132756,Youstin Delfin Salas Gomez,Left Wing,Tactical
909b6b45-9f99-4105-88ac-092807551094,3857292,2,45,770,6324,Leon Goretzka,8507,Lukas Klostermann,Right Defensive Midfield,Tactical
a9aaf44e-e4b9-473f-a196-e876cc5a8da9,3857292,2,53,770,10287,Ilkay Gundogan,8546,Niclas Fullkrug,Left Defensive Midfield,Tactical
0d16f93d-e970-4b9d-bac4-caf5aec35e1a,3857292,2,65,770,5562,Thomas Muller,8966,Kai Havertz,Left Center Forward,Tactical
3f7be925-aa4f-473b-b30d-77a56f44db2c,3857292,2,65,770,12034,David Raum,8227,Mario Gotze,Left Back,Tactical
ae67c47c-c103-4c59-9e9f-57db22b61bc7,3857292,2,73,795,5595,Johan Alberto Venegas Ulloa,15477,Ronald Alberto Matarrita Ulate,Left Wing,Tactical
aef01798-e0ad-4618-819d-76156fc43723,3857292,2,73,795,130185,Keysher Fuller Spence,132728,Jewison Bennette,Right Wing,Tactical
8bfd32f2-14a6-497d-86d4-96b30f5f5c13,3857292,2,92,795,5836,Bryan Oviedo,132296,Anthony Daniel Contreras Enriquez,Left Wing Back,Tactical
4b7cef77-7f9b-47b1-aa2d-498e5b931a87,3857292,2,92,795,5839,Yeltsin Ignacio Tejeda Valverde,135271,Roan Roberto Wilson Gordon,Left Defensive Midfield,Tactical
6b905f2c-4df3-4cc3-b3b5-beae1ddb8012,3857292,2,93,770,6322,Niklas Sule,8808,Matthias Ginter,Center Back,Tactical
8221b131-38f9-4412-bb05-22d87fafd7ff,3857295,2,45,778,5690,Yuto Nagatomo,95272,Hiroki Ito,Left Center Back,Tactical
4d194a3f-aa63-461f-885a-f76ca4c61ce2,3857295,2,45,778,38285,Ayase Ueda,8949,Takuma Asano,Center Forward,Tactical
