event_id,match_id,period,minute,second,team_id,team_name,player_id,player_name,position_name,loc_x,loc_y,end_loc_x,end_loc_y,statsbomb_xg,outcome_name,body_part_name,shot_type_name,technique_name,under_pressure
c2770548-8c9d-474a-8cd7-6114ce4f76e1,3857287,2,89,54,791,South Korea,3083,Heung-Min Son,Left Wing,93.8,36.6,120.0,46.1,0.0335565,Off T,Left Foot,Open Play,Normal,0
0ada1c14-4a75-4b1b-98b2-bd91c1f22dbd,3857287,2,93,6,791,South Korea,23763,In-Beom Hwang,Center Attacking Midfield,94.9,26.7,120.0,31.4,0.023029828,Off T,Left Foot,Open Play,Normal,0
dd62c1c2-00a9-4b33-a516-6094ca80e218,3869486,1,3,59,780,Portugal,12041,João Félix Sequeira,Left Wing,106.8,44.2,118.1,42.9,0.0989785,Saved,Head,Open Play,Diving Header,0
9f344f5d-4d72-4cf2-8eac-ed7c83a87f65,3869486,1,5,56,788,Morocco,6301,Youssef En-Nesyri,Center Forward,112.7,39.4,120.0,38.1,0.117904566,Off T,Head,Open Play,Normal,0
acc5950a-c4d0-4ca7-8f0d-61a7de6ac0e8,3869486,1,12,26,780,Portugal,5209,Raphaël Adelino José Guerreiro,Left Back,105.6,23.6,114.0,34.9,0.019215545,Blocked,Left Foot,Open Play,Volley,0
9cf778f8-eb3d-4bc5-ab35-0f3a147db977,3869486,1,17,49,788,Morocco,5237,Hakim Ziyech,Right Midfield,96.1,60.9,120.0,47.8,0.008206696,Off T,Left Foot,Open Play,Normal,0
9e674fd1-9541-42e1-921f-a8ccbed1d7c6,3869486,1,25,21,788,Morocco,6301,Youssef En-Nesyri,Center Forward,106.7,39.8,120.0,48.7,0.043849364,Off T,Head,Open Play,Normal,0
646d8725-6259-4863-92b3-0ea602d4bdd4,3869486,1,30,9,780,Portugal,12041,João Félix Sequeira,Left Wing,100.9,27.7,104.5,29.9,0.027014187,Blocked,Right Foot,Open Play,Half Volley,0
971e3e9c-a536-4987-be86-fed114271c3e,3869486,1,34,2,788,Morocco,23774,Selim Amallah,Left Center Midfield,108.7,31.3,120.0,37.0,0.06053267,Off T,Left Foot,Open Play,Half Volley,0
9000f0f2-73ed-4a71-917d-2d525af7ba80,3869486,1,34,56,788,Morocco,3625,Sofiane Boufal,Left Midfield,97.0,27.8,117.3,38.6,0.03503226,Saved,Right Foot,Open Play,Normal,0
60fd64f6-2fc4-4e42-8df5-c9e199fa7690,3869486,1,38,46,780,Portugal,12041,João Félix Sequeira,Left Wing,102.2,35.4,120.0,36.8,0.060545366,Off T,Right Foot,Open Play,Half Volley,0
b5cf82d9-5c1a-49ac-af0d-2fada2d6f0e5,3869486,1,41,36,788,Morocco,6301,Youssef En-Nesyri,Center Forward,112.6,39.7,120.0,42.7,0.20030825,Goal,Head,Open Play,Normal,1
