player_id,player_name,player_nickname,jersey_number,team_id,team_name
16028,José Diogo Dalot Teixeira,Diogo Dalot,2,780,Portugal
16120,Richie Laryea,,22,1833,Canada
16185,Justin Bijlow,,13,941,Netherlands
16190,Rasmus Nissen Kristensen,Rasmus Kristensen,13,776,Denmark
16252,Mark Anthony Kaye,,14,1833,Canada
16275,Ikoma Loïs Openda,Loïs Openda,24,782,Belgium
16281,Hans Vanaken,,20,782,Belgium
16294,Robert Skov,,24,776,Denmark
16308,Leandro Daniel Paredes,Leandro Paredes,5,779,Argentina
16346,Ngoran Suiru Fai Collins,Collins Fai,19,2722,Cameroon
16352,Issam Jebali,,9,777,Tunisia
16459,Cyle Larin,,17,1833,Canada
16489,Nemanja Gudelj,,8,786,Serbia
16527,Mislav Oršić,,18,785,Croatia
16531,Dominik Livaković,,1,785,Croatia
16532,Daniel Olmo Carvajal,Daniel Olmo,21,772,Spain
16549,Danny Vuković,,18,792,Australia
16554,Joakim Mæhle,Joakim Maehle,5,776,Denmark
16555,Joseph Aidoo,,15,4885,Ghana
16559,Leandro Trossard,,17,782,Belgium
17033,Mohammed Kudus,,20,4885,Ghana
17042,Andreas Skov Olsen,,11,776,Denmark
17043,Victor Nelsson,,3,776,Denmark
17456,Timothy Dieng,Seny Dieng,1,787,Senegal
17592,William Saliba,,17,771,France
17974,Gregor Kobel,,21,773,Switzerland
18015,Dušan Vlahović,,18,786,Serbia
18242,Tim Ream,,13,1839,United States
18360,Rafael Alexandre Conceição Leão,Rafael Leão,15,780,Portugal
18395,Vinícius José Paixão de Oliveira Júnior,Vinícius Júnior,20,781,Brazil
18722,Mathias Jensen,,7,776,Denmark
18737,Srđan Babić,,15,786,Serbia
18866,José Pedro Malheiro de Sá,José Sá,12,780,Portugal
19597,Marcos Javier Acuña,Marcos Acuña,8,779,Argentina
20005,Toby Alderweireld,,2,782,Belgium
20016,Kléper Laveran Lima Ferreira,Pepe,3,780,Portugal
20033,Luuk de Jong,,9,941,Netherlands
20055,Marc-André ter Stegen,Marc-André ter Stegen,22,770,Germany
20572,Cristian Gabriel Romero,Cristian Romero,13,779,Argentina
20600,Vanja Milinković Savić,,23,786,Serbia
20611,Boulaye Dia,,9,787,Senegal
20750,Cody Mathès Gakpo,Cody Gakpo,8,941,Netherlands
20758,Krépin Diatta,Krépin Diatta,15,787,Senegal
21026,Pape Gueye,,26,787,Senegal
21081,Juan Marcos Foyth,Juan Foyth,2,779,Argentina
21201,Ethan Horvath,,12,1839,United States
21214,Ilias Chair,,13,788,Morocco
21261,Jonas Older Wind,Jonas Wind,19,776,Denmark
21446,Matthew Robert Smith,Matthew Smith,26,907,Wales
21456,Olivier Mbaissidara Mbaizo,Olivier Mbaizo,17,2722,Cameroon
21547,Noa Lang,,12,941,Netherlands
21736,Zakaria Aboukhlal,,14,788,Morocco
21809,Jurriën David Norman Timber,Jurriën Timber,2,941,Netherlands
21879,Kenneth Taylor,,24,941,Netherlands
21881,Sergino Dest,Sergiño Dest,2,1839,United States
22008,Haji Wright,,19,1839,United States
22041,Marko Livaja,,14,785,Croatia
22067,Woo-Yeong Jeong,Jeong Woo-Yeong,25,791,South Korea
22074,Joseff Morrell,,16,907,Wales
22084,Bukayo Saka,,17,768,England
22097,Randal Kolo Muani,Randal Kolo,12,771,France
22168,Joshua Sargent,Josh Sargent,24,1839,United States
22293,Harry Souttar,,19,792,Australia
22371,Bailey Wright,,8,792,Australia
22433,Jesus Ferreira,,9,1839,United States
22600,Lucas Tolentino Coelho de Lima,Lucas Paquetá,7,781,Brazil
22740,Kang-In Lee,Lee Kang-In,18,791,South Korea
22783,Aaron Ramsdale,,23,768,England
22809,Ben White,,21,768,England
23264,Seung-Ho Paik,Paik Seung-Ho,8,791,South Korea
23363,Liam Millar,,23,1833,Canada
23527,Junya Ito,,14,778,Japan
23538,Sadegh Moharrami,,2,797,Iran
23615,Gideon Mensah,,14,4885,Ghana
23640,Jonathan David,,20,1833,Canada
23650,Jeremy Doku,Jérémy Doku,25,782,Belgium
23721,Wataru Endo,,6,778,Japan
23730,Takehiro Tomiyasu,,16,778,Japan
23760,Derek Cornelius,,25,1833,Canada
23763,In-Beom Hwang,Hwang In-Beom,6,791,South Korea
23774,Selim Amallah,,15,788,Morocco
23789,Jordan Morris,,16,1839,United States
23828,Kamal Miller,,4,1833,Canada
23830,Jhegson Sebastián Méndez Carabalí,Jhegson Méndez,20,3565,Ecuador
23874,Ali Gholizadeh,,17,797,Iran
23910,Youssef Msakni,,7,777,Tunisia
24024,Tajon Buchanan,,11,1833,Canada
24085,Pervis Josué Estupiñán Tenorio,Pervis Estupiñán,7,3565,Ecuador
24118,Nico Schlotterbeck,,23,770,Germany
24243,Brenden Aaronson,,11,1839,United States
24267,Uroš Račić,,19,786,Serbia
24413,Kamil Grabara,,22,789,Poland
24443,Mikkel Damsgaard,,14,776,Denmark
24475,Awer Denis Bul Mabil,,11,792,Australia
24547,Alexander Hartmann Bah,Alexander Bah,26,776,Denmark
24778,Eduardo Camavinga,,25,771,France
24916,Armel Bella-Kotchap,,25,770,Germany
25083,Xavier Ricardo Arreaga Bermello,Xavier Arreaga,14,3565,Ecuador
25101,Weverton Pereira da Silva,Wéverton,12,781,Brazil
25104,Rodrygo Silva de Goes,Rodrygo,21,781,Brazil
25142,Bruno Guimarães Rodriguez Moura,Bruno Guimarães,17,781,Brazil
25154,Éverton Augusto de Barros Ribeiro,Éverton Ribeiro,22,781,Brazil
25305,Pedro Guilherme Abreu dos Santos,Pedro,25,781,Brazil
25352,Robert Abel Arboleda Escobar,Robert Arboleda,4,3565,Ecuador
25363,Antony Matheus dos Santos,Antony,19,781,Brazil
25582,Nader Ghandri,,5,777,Tunisia
25719,Shūichi Gonda,,12,778,Japan
26280,Orbelín Pineda Alvarado,Orbelín Pineda,17,794,Mexico
26297,Carlos Alberto Rodríguez Gómez,Carlos Alberto Rodríguez,8,794,Mexico
26301,Ernesto Alexis Vega Rojas,Alexis Vega,10,794,Mexico
26318,Rogelio Gabriel Funes Mori,Rogelio Funes Mori,11,794,Mexico
26323,Carlos Sebastián Sosa Silva,Sebastián Sosa,12,783,Uruguay
26336,Johan Felipe Vásquez Ibarra,Johan Vásquez,5,794,Mexico
26348,Lucas Daniel Cavallini,Lucas Cavallini,9,1833,Canada
26368,César Jasib Montes Castro,César Montes,3,794,Mexico
26375,Roberto Carlos Alvarado Hernández,Roberto Alvarado,25,794,Mexico
26386,Luis Francisco Romo Barrón,Luis Romo,7,794,Mexico
26389,Alfredo Talavera Díaz,Alfredo Talavera,1,794,Mexico
26400,Henry Josué Martín Mex,Henry Martín,20,794,Mexico
26404,Guido Rodríguez,,18,779,Argentina
26406,Jorge Eduardo Sánchez Ramos,Jorge Sánchez,19,794,Mexico
27038,Oliver Christensen,,16,776,Denmark
27163,Juan Pablo Vargas Campos,Juan Pablo Vargas,3,795,Costa Rica
27569,Jesper Lindstrøm,,25,776,Denmark
27719,Strahinja Pavlović,,2,786,Serbia
27768,Lisandro Martínez,,25,779,Argentina
27886,Alexis Mac Allister,Alexis MacAllister,20,779,Argentina
27896,Gerardo Daniel Arteaga Zamora,Gerardo Arteaga,6,794,Mexico
28263,Gonzalo Ariel Montiel,Gonzalo Montiel,4,779,Argentina
28268,Exequiel Alejandro Palacios,Exequiel Palacios,14,779,Argentina
28370,Fran Karačić,,5,792,Australia
28453,Michał Skóraś,,26,789,Poland
28511,Ángel Israel Mena Delgado,Ángel Mena,15,3565,Ecuador
28522,Rodolfo Cota Robles,Rodolfo Cota,12,794,Mexico
28559,Enner Remberto Valencia Lastra,Enner Valencia,13,3565,Ecuador
28616,Daniel-Kofi Kyereh,,8,4885,Ghana
28637,Thiago Ezequiel Almada,Thiago Almada,16,779,Argentina
28729,Diego Nicolás De La Cruz Arcosa,Nicolás De La Cruz,7,783,Uruguay
28825,Luis Gerardo Chávez Magallón,Luis Chávez,24,794,Mexico
28835,Ivica Ivušić,,23,785,Croatia
28914,Lovro Majer,,7,785,Croatia
28966,Gaël Ondoua,,5,2722,Cameroon
29003,Jonas Omlin,,12,773,Switzerland
29006,Noah Okafor,,19,773,Switzerland
29012,Eray Ervin Cömert,Eray Cömert,18,773,Switzerland
29163,Josip Juranović,,22,785,Croatia
29201,Nahuel Molina Lucero,Nahuel Molina,26,779,Argentina
29342,Ivo Grbić,,12,785,Croatia
29366,Daniel Schmidt,,23,778,Japan
29377,Brennan Johnson,,9,907,Wales
29399,Conor Gallagher,,26,768,England
29560,Julián Álvarez,,9,779,Argentina
29595,Ko Itakura,,4,778,Japan
29758,Sam Adekugbe,,3,1833,Canada
29966,Ui-Jo Hwang,Hwang Ui-jo,16,791,South Korea
29976,Gabriel Teodoro Martinelli Silva,Gabriel Martinelli,26,781,Brazil
30016,Martin Hongla Yma II,,18,2722,Cameroon
30111,Felix Eduardo Torres Caicedo,Félix Torres,2,3565,Ecuador
30179,Ivan Ilić,,24,786,Serbia
30401,Ruben Vargas,,17,773,Switzerland
30486,Pedro González López,Pedri,26,772,Spain
30500,Kevin Nahin Álvarez Campos,Kevin Álvarez,26,794,Mexico
30519,Mohamed Salisu,,4,4885,Ghana
30628,Daizen Maeda,,25,778,Japan
30681,Ali Abdi,,24,777,Tunisia
30714,Jude Bellingham,,22,768,England
30756,Anssumane Fati,Ansu Fati,25,772,Spain
31029,Salis Abdul Samed,,21,4885,Ghana
31090,Takefusa Kubo,,11,778,Japan
31152,Gonzalo Jordy Plata Jiménez,Gonzalo Plata,19,3565,Ecuador
31295,Yahia Attiyat allah,,25,788,Morocco
31684,Atiba Hutchinson,,13,1833,Canada
31751,Pathé Ismaël Ciss,,11,787,Senegal
31953,Eric García Martret,Eric García,3,772,Spain
31955,Jakub Kamiński,,13,789,Poland
32450,Montassar Omar Talbi,,3,777,Tunisia
32478,Darwin Gabriel Núñez Ribeiro,Darwin Núñez,11,783,Uruguay
32602,Kristijan Jakić,,26,785,Croatia
32677,Alexander Domínguez Carabalí,Alexander Domínguez,22,3565,Ecuador
32688,Charles De Ketelaere,,22,782,Belgium
32689,Martin Erlić,,5,785,Croatia
32712,Jeremie Frimpong,,26,941,Netherlands
32915,Ismail Jakobs,,14,787,Senegal
32975,Diogo Meireles Costa,Diogo Costa,22,780,Portugal
33018,Joško Gvardiol,,20,785,Croatia
33099,José Luis Rodríguez Bebanz,José Luis Rodríguez,26,783,Uruguay
33121,Benjamin Cabango,Ben Cabango,24,907,Wales
33144,Dylan Levitt,,23,907,Wales
33274,Luca de la Torre,,14,1839,United States
33446,Thomas Deng,,20,792,Australia
33465,Joel King,,24,792,Australia
33477,Riley McGree,,14,792,Australia
33488,Keanu Baccus,,26,792,Australia
33492,Mitchell Thomas Duke,Mitchell Duke,15,792,Australia
33495,Kye Rowles,,4,792,Australia
33502,Cameron Peter Devlin,,17,792,Australia
33564,Andrew Redmayne,,12,792,Australia
33572,Nathaniel Atkinson,,3,792,Australia
33602,Tariq Lamptey,,2,4885,Ghana
33813,Jerome Ngom Mbekeli,Jerome Mbekeli,2,2722,Cameroon
34194,Eduar Ayrton Preciado García,Ayrton Preciado,9,3565,Ecuador
34339,Giovanni Reyna,,7,1839,United States
34396,Michael Steveen Estrada Martínez,Michael Estrada,11,3565,Ecuador
34476,Matías Nicolás Viña Susperreguy,Matías Viña,17,783,Uruguay
34639,Vitor Machado Ferreira,Vitinha,16,780,Portugal
34794,Neco Williams,,3,907,Wales
34893,Moustapha Name,,24,787,Senegal
35592,Anis Ben Slimane,Anis Slimane,25,777,Tunisia
35609,Karim-David Adeyemi,,24,770,Germany
35641,Hugo Guillamón Sanmartín,Hugo Guillamón,15,772,Spain
35658,Kamaldeen Sulemana,,22,4885,Ghana
35707,Joel Waterman,,26,1833,Canada
36148,José Adoni Cifuentes Charcopa,José Cifuentes,5,3565,Ecuador
36158,Marco Tilio,,6,792,Australia
36288,Facundo Pellistri Rebollo,Facundo Pellistri,8,783,Uruguay
36659,Manuel Ugarte Ribeiro,Manuel Ugarte,25,783,Uruguay
36666,Agustín Canobbio Graviz,Agustín Canobbio,24,783,Uruguay
36710,Sergio Rochet Álvarez,Sergio Rochet,23,783,Uruguay
36794,Dayne Tristan St. Clair,Dayne St. Clair,1,1833,Canada
36830,Joseph Scally,Joe Scally,26,1839,United States
37122,Yuki Soma,,24,778,Japan
37148,Josip Šutalo,,24,785,Croatia
37208,Ao Tanaka,,17,778,Japan
37209,Miki Yamane,,2,778,Japan
37211,Kaoru Mitoma,,9,778,Japan
37215,Shogo Taniguchi,,3,778,Japan
37221,Hidemasa Morita,,13,778,Japan
37522,Hernán Ismael Galíndez,Hernán Galíndez,1,3565,Ecuador
37641,Seung-Gyu Kim,Kim Seung-Gyu,1,791,South Korea
